method,ate,ate_pct,ci_low,ci_high,se,p_value,cohort,outcome,n,n_treated,n_control,outcome_rate,diag_ps_overlap_frac,diag_ps_min,diag_ps_max,diag_frac_clipped,diag_max_smd_raw,diag_mean_smd_raw,diag_max_smd_weighted,diag_mean_smd_weighted,diag_ess,diag_ess_frac,intervention,equipoise_def,counterfactual_risk_treated,counterfactual_risk_control,risk_ratio,e_value,e_value_ci
unadjusted,0.1497936810284492,14.97936810284492,0.13638887896716867,0.16319848308972973,0.00683931039907666,2.4934013535627126e-106,full,mortality_in_hospital,63838,3655,60183,0.07136815063128545,0.12100943011999123,0.003466141866246112,0.8410925366761363,0.3724584103512015,0.7611880731212993,0.21743328302318476,0.15545294549043429,0.05544931948768924,8500.881458912749,0.1331633425062306,intv_vasopressors,shock,,,,,
iptw,0.1476408362957123,14.764083629571232,0.12990027273189375,0.16538139985953088,0.009051474263687423,8.209886505408915e-60,full,mortality_in_hospital,63838,3655,60183,0.07136815063128545,0.12100943011999123,0.003466141866246112,0.8410925366761363,0.3724584103512015,0.7611880731212993,0.21743328302318476,0.15545294549043429,0.05544931948768924,8500.881458912749,0.1331633425062306,intv_vasopressors,shock,,,,,
aipw,0.11645066558370373,11.645066558370374,0.10164918666264665,0.1312521445047608,0.0075519137279099315,1.200659813158092e-53,full,mortality_in_hospital,63838,3655,60183,0.07136815063128545,0.12100943011999123,0.003466141866246112,0.8410925366761363,0.3724584103512015,0.7611880731212993,0.21743328302318476,0.15545294549043429,0.05544931948768924,8500.881458912749,0.1331633425062306,intv_vasopressors,shock,0.18178048795917923,0.06532982237547545,2.7825039369373643,5.009570218423968,4.5501509306990355
att,0.10546506133909642,10.546506133909642,0.0913747115967503,0.11955541108144253,0.007189086051319817,1.0010488199562574e-48,full,mortality_in_hospital,63838,3655,60183,0.07136815063128545,0.12100943011999123,0.003466141866246112,0.8410925366761363,0.3724584103512015,0.7611880731212993,0.21743328302318476,0.15545294549043429,0.05544931948768924,8500.881458912749,0.1331633425062306,intv_vasopressors,shock,,0.10712043797690905,,,
ato,0.12944159979213232,12.944159979213232,0.1143347229158995,0.14454847666836515,0.00770773187435787,2.7122971177953457e-63,full,mortality_in_hospital,63838,3655,60183,0.07136815063128545,0.12100943011999123,0.003466141866246112,0.8410925366761363,0.3724584103512015,0.7611880731212993,0.21743328302318476,0.15545294549043429,0.05544931948768924,8500.881458912749,0.1331633425062306,intv_vasopressors,shock,,,,,
unadjusted,0.13424360306627942,13.42436030662794,0.12036680850203407,0.14812039763052476,0.007080127325656865,3.6086577118285905e-80,full,mortality_28d,63838,3655,60183,0.10490616873962216,0.12100943011999123,0.003466141866246112,0.8410925366761363,0.3724584103512015,0.7611880731212993,0.21743328302318476,0.15545294549043429,0.05544931948768924,8500.881458912749,0.1331633425062306,intv_vasopressors,shock,,,,,
iptw,0.13288999841078525,13.288999841078525,0.11468034085979854,0.15109965596177197,0.009290812328503057,2.084418668573547e-46,full,mortality_28d,63838,3655,60183,0.10490616873962216,0.12100943011999123,0.003466141866246112,0.8410925366761363,0.3724584103512015,0.7611880731212993,0.21743328302318476,0.15545294549043429,0.05544931948768924,8500.881458912749,0.1331633425062306,intv_vasopressors,shock,,,,,
aipw,0.10171536254284701,10.171536254284701,0.08689560595177903,0.11653511913391498,0.00756123924111072,2.9881465580068846e-41,full,mortality_28d,63838,3655,60183,0.10490616873962216,0.12100943011999123,0.003466141866246112,0.8410925366761363,0.3724584103512015,0.7611880731212993,0.21743328302318476,0.15545294549043429,0.05544931948768924,8500.881458912749,0.1331633425062306,intv_vasopressors,shock,0.20142462460934507,0.09970926206649804,2.0201194997813854,3.455655390525887,3.1485897685589133
att,0.09076884492445919,9.076884492445918,0.0766576048770138,0.10488008497190458,0.007199744566100732,1.9264242193168144e-36,full,mortality_28d,63838,3655,60183,0.10490616873962216,0.12100943011999123,0.003466141866246112,0.8410925366761363,0.3724584103512015,0.7611880731212993,0.21743328302318476,0.15545294549043429,0.05544931948768924,8500.881458912749,0.1331633425062306,intv_vasopressors,shock,,0.14069490336555449,,,
ato,0.11599503946105216,11.599503946105216,0.10029351636711042,0.1316965625549939,0.008011128376742303,1.6390261532835216e-47,full,mortality_28d,63838,3655,60183,0.10490616873962216,0.12100943011999123,0.003466141866246112,0.8410925366761363,0.3724584103512015,0.7611880731212993,0.21743328302318476,0.15545294549043429,0.05544931948768924,8500.881458912749,0.1331633425062306,intv_vasopressors,shock,,,,,
unadjusted,0.13771040278814006,13.771040278814006,0.12271319280464624,0.1527076127716339,0.0076517783499033135,2.05008644741106e-72,full,mortality_90d,63838,3655,60183,0.16073498543187442,0.12100943011999123,0.003466141866246112,0.8410925366761363,0.3724584103512015,0.7611880731212993,0.21743328302318476,0.15545294549043429,0.05544931948768924,8500.881458912749,0.1331633425062306,intv_vasopressors,shock,,,,,
iptw,0.14334599383997512,14.334599383997512,0.1233283494190632,0.16336363826088704,0.010213271559481983,9.483850274071629e-45,full,mortality_90d,63838,3655,60183,0.16073498543187442,0.12100943011999123,0.003466141866246112,0.8410925366761363,0.3724584103512015,0.7611880731212993,0.21743328302318476,0.15545294549043429,0.05544931948768924,8500.881458912749,0.1331633425062306,intv_vasopressors,shock,,,,,
aipw,0.10397390616116435,10.397390616116436,0.08809013272820905,0.11985767959411965,0.0081041149522361,1.1169966161111787e-37,full,mortality_90d,63838,3655,60183,0.16073498543187442,0.12100943011999123,0.003466141866246112,0.8410925366761363,0.3724584103512015,0.7611880731212993,0.21743328302318476,0.15545294549043429,0.05544931948768924,8500.881458912749,0.1331633425062306,intv_vasopressors,shock,0.2596394352529935,0.15566552909182912,1.6679314731254908,2.7234237402298405,2.507238023246711
att,0.08854280542703466,8.854280542703465,0.07344719596167205,0.10363841489239727,0.007701983089707181,1.38003780237695e-30,full,mortality_90d,63838,3655,60183,0.16073498543187442,0.12100943011999123,0.003466141866246112,0.8410925366761363,0.3724584103512015,0.7611880731212993,0.21743328302318476,0.15545294549043429,0.05544931948768924,8500.881458912749,0.1331633425062306,intv_vasopressors,shock,,0.2020180700859612,,,
ato,0.11676020901458259,11.676020901458259,0.09992847117117717,0.133591946857988,0.008587779151133394,4.224263543617568e-42,full,mortality_90d,63838,3655,60183,0.16073498543187442,0.12100943011999123,0.003466141866246112,0.8410925366761363,0.3724584103512015,0.7611880731212993,0.21743328302318476,0.15545294549043429,0.05544931948768924,8500.881458912749,0.1331633425062306,intv_vasopressors,shock,,,,,
unadjusted,0.15386821383652685,15.386821383652686,0.13666300319564045,0.17107342447741325,0.008778329998203487,8.730853417984507e-69,equipoise,mortality_in_hospital,26767,2456,24311,0.09844211155527328,0.24350879814697202,0.006491740134117791,0.8328155211305781,0.04546643254753988,0.5504693085871069,0.17481145123831093,0.07075133756948351,0.034274578484317725,5388.811644921285,0.20132295905111836,intv_vasopressors,shock,,,,,
iptw,0.15446599617754508,15.446599617754508,0.1328294799218387,0.17610251243325148,0.011039241754630428,1.7334542093076956e-44,equipoise,mortality_in_hospital,26767,2456,24311,0.09844211155527328,0.24350879814697202,0.006491740134117791,0.8328155211305781,0.04546643254753988,0.5504693085871069,0.17481145123831093,0.07075133756948351,0.034274578484317725,5388.811644921285,0.20132295905111836,intv_vasopressors,shock,,,,,
aipw,0.13610501331090033,13.610501331090033,0.1159739250224911,0.15623610159930956,0.010271152147284694,4.440907315593147e-40,equipoise,mortality_in_hospital,26767,2456,24311,0.09844211155527328,0.24350879814697202,0.006491740134117791,0.8328155211305781,0.04546643254753988,0.5504693085871069,0.17481145123831093,0.07075133756948351,0.034274578484317725,5388.811644921285,0.20132295905111836,intv_vasopressors,shock,0.22451018213206844,0.08840516882116808,2.5395594525272918,4.5168815710485575,4.0533346004283715
att,0.10938878101131677,10.938878101131678,0.09104640166748793,0.12773116035514562,0.00935852877323828,1.4564472001106206e-31,equipoise,mortality_in_hospital,26767,2456,24311,0.09844211155527328,0.24350879814697202,0.006491740134117791,0.8328155211305781,0.04546643254753988,0.5504693085871069,0.17481145123831093,0.07075133756948351,0.034274578484317725,5388.811644921285,0.20132295905111836,intv_vasopressors,shock,,0.1288034013991067,,,
ato,0.13231417447817984,13.231417447817984,0.11296811989401753,0.15166022906234214,0.009870617387238502,5.663543552161866e-41,equipoise,mortality_in_hospital,26767,2456,24311,0.09844211155527328,0.24350879814697202,0.006491740134117791,0.8328155211305781,0.04546643254753988,0.5504693085871069,0.17481145123831093,0.07075133756948351,0.034274578484317725,5388.811644921285,0.20132295905111836,intv_vasopressors,shock,,,,,
